mag,dist,mag_dist,severity,severity_dist
1.18,77,0,Micro,None
1.5,197,0,Micro,None
0.85,67,0,Micro,None
1.65,18,1.29,Micro,Micro
0.62,213,0,Micro,None
1.97,16,1.65,Minor 1,Micro
1.5,97,0,Micro,None
2.3,244,0,Minor 1,None
1.19,144,0,Micro,None
2.2,60,1,Minor 1,Micro
1.15,43,0.29,Micro,None
1.1,182,0,Micro,None
0.7,190,0,Micro,None
1.4,217,0,Micro,None
1.64,6,1.52,Micro,Micro
1.53,114,0,Micro,None
0.68,79,0,Micro,None
2.1,159,0,Minor 1,None
0.67,218,0,Micro,None
1.1,67,0,Micro,None
0.53,6,0.41,Micro,None
1.93,76,0.41,Minor 1,None
1.58,109,0,Micro,None
3.13,91,1.31,Minor 2,Micro
5.1,185,1.4,Moderate,Micro
2.08,20,1.68,Minor 1,Micro
2.01,115,0,Minor 1,None
2.1,165,0,Minor 1,None
2.25999999,176,0,Minor 1,None
1.4,175,0,Micro,None
4.4,223,0,Light,None
1.89,182,0,Micro,None
1.74,236,0,Micro,None
2.04,29,1.46,Minor 1,Micro
1.7,81,0.08,Micro,None
0.74,199,0,Micro,None
2.89,48,1.93,Minor 1,Minor 1
2.33,150,0,Minor 1,None
0.98,196,0,Micro,None
4.2,165,0.9,Light,None
0.61,159,0,Micro,None
2.08,153,0,Minor 1,None
1.2,52,0.16,Micro,None
0.51,60,0,Micro,None
1.07,223,0,Micro,None
2.1,50,1.1,Minor 1,Micro
1.55,177,0,Micro,None
0.85,201,0,Micro,None
1.1,230,0,Micro,None
2.82,226,0,Minor 1,None
1.57,99,0,Micro,None
4.8,247,0,Light,None
2.19,93,0.33,Minor 1,None
1.16,237,0,Micro,None
2.1,238,0,Minor 1,None
1.15,244,0,Micro,None
2.77,115,0.47,Minor 1,None
0.88,135,0,Micro,None
2.76,245,0,Minor 1,None
1.85,186,0,Micro,None
0.62,5,0.52,Micro,None
1.2,38,0.44,Micro,None
0.85,22,0.41,Micro,None
1.08,11,0.86,Micro,None
1.84000003,196,0,Micro,None
1.4,240,0,Micro,None
2.6,52,1.56,Minor 1,Micro
1.47,111,0,Micro,None
1,248,0,Micro,None
1.15,154,0,Micro,None
1.2,228,0,Micro,None
0.85,52,0,Micro,None
1.6,199,0,Micro,None
1.6,10,1.4,Micro,Micro
2,52,0.96,Minor 1,Micro
3,6,2.88,Minor 2,Minor 1
4.6,219,0.22,Light,None
3.5,213,0,Minor 2,None
0.9,125,0,Micro,None
2.31,188,0,Minor 1,None
2.04,237,0,Minor 1,None
1.5,170,0,Micro,None
1.4,219,0,Micro,None
4.5,108,2.34,Light,Minor 1
1.14,143,0,Micro,None
0.87,182,0,Micro,None
2.8,84,1.12,Minor 1,Micro
3.89,153,0.83,Minor 2,None
2.7,238,0,Minor 1,None
1.98,211,0,Minor 1,None
2.01,161,0,Minor 1,None
0.58,83,0,Micro,None
2.1,139,0,Minor 1,None
0.84,13,0.58,Micro,None
4.2,234,0,Light,None
4.2,120,1.8,Light,Micro
1.95,171,0,Minor 1,None
5,231,0.38,Moderate,None
3.72,201,0,Minor 2,None
1.5,161,0,Micro,None
0.87,121,0,Micro,None
1.61,143,0,Micro,None
2.73,6,2.61,Minor 1,Minor 1
2.03999996,198,0,Minor 1,None
1.74,179,0,Micro,None
0.84,238,0,Micro,None
1.72,115,0,Micro,None
2.36,228,0,Minor 1,None
0.81,142,0,Micro,None
4,8,3.84,Light,Minor 2
1.61,183,0,Micro,None
2.43,207,0,Minor 1,None
5,60,3.8,Moderate,Minor 2
2.1,134,0,Minor 1,None
1.55,228,0,Micro,None
1.75,216,0,Micro,None
1.23,11,1.01,Micro,Micro
0.9,212,0,Micro,None
5.1,100,3.1,Moderate,Minor 2
0.8,66,0,Micro,None
4.3,96,2.38,Light,Minor 1
1.75,201,0,Micro,None
1.84000003,144,0,Micro,None
0.8,205,0,Micro,None
2.09,173,0,Minor 1,None
1.21,220,0,Micro,None
1.12,26,0.6,Micro,None
2.25,65,0.95,Minor 1,Micro
1.5,55,0.4,Micro,None
1.54,240,0,Micro,None
1.13,12,0.89,Micro,None
1.8,209,0,Micro,None
2.2,74,0.72,Minor 1,None
2.1,173,0,Minor 1,None
1.57,238,0,Micro,None
1.15,181,0,Micro,None
0.76,36,0.04,Micro,None
1.72,250,0,Micro,None
3.11,103,1.05,Minor 2,Micro
0.8,65,0,Micro,None
2.32,151,0,Minor 1,None
2.25999999,136,0,Minor 1,None
1.2,238,0,Micro,None
0.67,11,0.45,Micro,None
2.75,127,0.21,Minor 1,None
1.59,65,0.29,Micro,None
0.98,41,0.16,Micro,None
1.62,222,0,Micro,None
1.42,192,0,Micro,None
1.87,237,0,Micro,None
4.4,29,3.82,Light,Minor 2
2.66,229,0,Minor 1,None
2.27,131,0,Minor 1,None
4.2,76,2.68,Light,Minor 1
1.56,86,0,Micro,None
2.6,185,0,Minor 1,None
2.16,155,0,Minor 1,None
1.2,250,0,Micro,None
1.9,133,0,Micro,None
1.9,87,0.16,Micro,None
1.06,162,0,Micro,None
1.09,208,0,Micro,None
1.74,48,0.78,Micro,None
4.4,65,3.1,Light,Minor 2
1.7,95,0,Micro,None
0.85,55,0,Micro,None
0.9,213,0,Micro,None
1.24,62,0,Micro,None
1.6,107,0,Micro,None
2.4,82,0.76,Minor 1,None
1.5,23,1.04,Micro,Micro
0.61,87,0,Micro,None
0.69,214,0,Micro,None
1.48,167,0,Micro,None
2.61,240,0,Minor 1,None
0.86,118,0,Micro,None
0.91,95,0,Micro,None
1.6,55,0.5,Micro,None
4.6,160,1.4,Light,Micro
2.07,75,0.57,Minor 1,None
2.42,71,1,Minor 1,Micro
0.92,134,0,Micro,None
2.4000001,22,1.9600001,Minor 1,Minor 1
0.71,197,0,Micro,None
1.9,97,0,Micro,None
1.4,62,0.16,Micro,None
1.7,142,0,Micro,None
4.6,131,1.98,Light,Minor 1
0.92,197,0,Micro,None
4.5,87,2.76,Light,Minor 1
4.6,45,3.7,Light,Minor 2
0.77,164,0,Micro,None
1.89,184,0,Micro,None
1.84,46,0.92,Micro,Micro
4.9,37,4.16,Light,Light
1.7,30,1.1,Micro,Micro
1.69,181,0,Micro,None
1.57,191,0,Micro,None
0.93,213,0,Micro,None
0.8,168,0,Micro,None
2.13,249,0,Minor 1,None
0.76,219,0,Micro,None
1.55,209,0,Micro,None
1.38,54,0.3,Micro,None
1,66,0,Micro,None
0.59,215,0,Micro,None
0.9,27,0.36,Micro,None
1.6,142,0,Micro,None
1.2,250,0,Micro,None
0.76,155,0,Micro,None
2.29,100,0.29,Minor 1,None
0.55,232,0,Micro,None
2.79,23,2.33,Minor 1,Minor 1
1.54,1,1.52,Micro,Micro
0.54,74,0,Micro,None
2.4,144,0,Minor 1,None
0.86,143,0,Micro,None
0.87,1,0.85,Micro,None
4.4,72,2.96,Light,Minor 2
0.5,241,0,Micro,None
1.39,5,1.29,Micro,Micro
1.19,96,0,Micro,None
2.41,22,1.97,Minor 1,Minor 1
1.47,80,0,Micro,None
1.7,166,0,Micro,None
1.2,229,0,Micro,None
2.2,63,0.94,Minor 1,Micro
0.87,95,0,Micro,None
4.3,203,0.24,Light,None
0.76,157,0,Micro,None
4.3,89,2.52,Light,Minor 1
0.84,106,0,Micro,None
1.86,157,0,Micro,None
3.4,134,0.72,Minor 2,None
1,168,0,Micro,None
1.37,150,0,Micro,None
0.64,89,0,Micro,None
0.66,129,0,Micro,None
0.9,30,0.3,Micro,None
3.67,219,0,Minor 2,None
1.18,14,0.9,Micro,None
3,15,2.7,Minor 2,Minor 1
1.9,67,0.56,Micro,None
4.3,183,0.64,Light,None
2.21,108,0.05,Minor 1,None
0.51,177,0,Micro,None
2.20000005,200,0,Minor 1,None
1.85000002,204,0,Micro,None
2.03999996,153,0,Minor 1,None
4.2,197,0.26,Light,None
4.5,55,3.4,Light,Minor 2
1.4,31,0.78,Micro,None
1.9,50,0.9,Micro,None
1.3,171,0,Micro,None
0.69,163,0,Micro,None
0.64,177,0,Micro,None
1.46,146,0,Micro,None
4.6,51,3.58,Light,Minor 2
1.79,221,0,Micro,None
2.43,90,0.63,Minor 1,None
2.9,110,0.7,Minor 1,None
3.29,82,1.65,Minor 2,Micro
0.7,55,0,Micro,None
1.4,164,0,Micro,None
2.58,86,0.86,Minor 1,None
0.63,47,0,Micro,None
0.85,189,0,Micro,None
0.52,1,0.5,Micro,None
1.72000003,185,0,Micro,None
1.6,100,0,Micro,None
4.3,188,0.54,Light,None
0.73,55,0,Micro,None
1.2,116,0,Micro,None
1.06,166,0,Micro,None
1.5,114,0,Micro,None
0.9,16,0.58,Micro,None
1.49,84,0,Micro,None
2,78,0.44,Minor 1,None
0.71,108,0,Micro,None
3.6,17,3.26,Minor 2,Minor 2
0.83,117,0,Micro,None
1.36,197,0,Micro,None
0.5,217,0,Micro,None
2.58,16,2.26,Minor 1,Minor 1
0.74,82,0,Micro,None
1.8,201,0,Micro,None
1.5,25,1,Micro,Micro
1.72,93,0,Micro,None
0.81,26,0.29,Micro,None
0.8,204,0,Micro,None
1.54,132,0,Micro,None
3.1,221,0,Minor 2,None
1.5,218,0,Micro,None
1.6,15,1.3,Micro,Micro
4.4,213,0.14,Light,None
1.6,152,0,Micro,None
1.5,140,0,Micro,None
2.3,121,0,Minor 1,None
0.8,208,0,Micro,None
1.65,105,0,Micro,None
2.4,165,0,Minor 1,None
2.1,99,0.12,Minor 1,None
1.5,205,0,Micro,None
1.76,42,0.92,Micro,Micro
1.79,190,0,Micro,None
3.42,64,2.14,Minor 2,Minor 1
2.35,167,0,Minor 1,None
0.89,176,0,Micro,None
1.73000002,41,0.91000002,Micro,Micro
1.72,180,0,Micro,None
2.7,108,0.54,Minor 1,None
4.6,231,0,Light,None
0.76,174,0,Micro,None
2.74,239,0,Minor 1,None
1.38,223,0,Micro,None
4.4,131,1.78,Light,Micro
1.05,27,0.51,Micro,None
0.9,223,0,Micro,None
4.5,233,0,Light,None
4,181,0.38,Light,None
4.4,59,3.22,Light,Minor 2
1.6,101,0,Micro,None
2.72,142,0,Minor 1,None
1.42,33,0.76,Micro,None
0.78,133,0,Micro,None
1.19,16,0.87,Micro,None
2.5,60,1.3,Minor 1,Micro
1.7,169,0,Micro,None
1.1,210,0,Micro,None
0.7,234,0,Micro,None
1.17,98,0,Micro,None
0.86,168,0,Micro,None
0.84,228,0,Micro,None
4.2,159,1.02,Light,Micro
1.6,196,0,Micro,None
0.52,101,0,Micro,None
1.92999995,112,0,Minor 1,None
0.8,4,0.72,Micro,None
1.2,69,0,Micro,None
1.7,24,1.22,Micro,Micro
0.87,224,0,Micro,None
4.4,156,1.28,Light,Micro
0.86,209,0,Micro,None
0.97,218,0,Micro,None
5.1,224,0.62,Moderate,None
0.85,1,0.83,Micro,None
0.85,126,0,Micro,None
4.8,246,0,Light,None
2.81,236,0,Minor 1,None
3.06,3,3,Minor 2,Minor 2
1.5,134,0,Micro,None
1.89999998,93,0.03999998,Micro,None
5.1,241,0.28,Moderate,None
0.52,176,0,Micro,None
1.08,188,0,Micro,None
5,215,0.7,Moderate,None
0.85,92,0,Micro,None
1.2,213,0,Micro,None
1.3,212,0,Micro,None
1.4,219,0,Micro,None
1.7,168,0,Micro,None
1.89,237,0,Micro,None
0.6,35,0,Micro,None
1.34,55,0.24,Micro,None
2.4,148,0,Minor 1,None
1.8,238,0,Micro,None
4.3,223,0,Light,None
1.18,56,0.06,Micro,None
1.21,199,0,Micro,None
0.69,118,0,Micro,None
0.86,173,0,Micro,None
1.6,29,1.02,Micro,Micro
1.03,138,0,Micro,None
1.75,112,0,Micro,None
1.93,30,1.33,Minor 1,Micro
3.43,30,2.83,Minor 2,Minor 1
1.19,40,0.39,Micro,None
1.24,66,0,Micro,None
1.24,246,0,Micro,None
1.12,238,0,Micro,None
2.27,149,0,Minor 1,None
1.29,140,0,Micro,None
0.84,44,0,Micro,None
1.76,4,1.68,Micro,Micro
1.6,197,0,Micro,None
5.2,201,1.18,Moderate,Micro
0.97,229,0,Micro,None
1.1,179,0,Micro,None
3,237,0,Minor 2,None
1.68,189,0,Micro,None
1.2,192,0,Micro,None
4.7,165,1.4,Light,Micro
1.1,125,0,Micro,None
3.54,100,1.54,Minor 2,Micro
2.24,129,0,Minor 1,None
2.48,154,0,Minor 1,None
2.56,224,0,Minor 1,None
0.8,164,0,Micro,None
1.36,173,0,Micro,None
0.85,144,0,Micro,None
2.5,218,0,Minor 1,None
2.55,116,0.23,Minor 1,None
2.6,64,1.32,Minor 1,Micro
0.85,41,0.03,Micro,None
3.4,122,0.96,Minor 2,Micro
0.8,177,0,Micro,None
2.36,5,2.26,Minor 1,Minor 1
1.7,135,0,Micro,None
2.52,117,0.18,Minor 1,None
4.9,173,1.44,Light,Micro
5.5,62,4.26,Moderate,Light
1.7,120,0,Micro,None
1.7,237,0,Micro,None
0.71,125,0,Micro,None
0.7,236,0,Micro,None
4.6,177,1.06,Light,Micro
1.08,7,0.94,Micro,Micro
0.84,54,0,Micro,None
1.5,94,0,Micro,None
0.9,182,0,Micro,None
1.34,133,0,Micro,None
1.99,36,1.27,Minor 1,Micro
0.75,126,0,Micro,None
0.85,69,0,Micro,None
1.08,67,0,Micro,None
1.4,169,0,Micro,None
1.44,247,0,Micro,None
1.62,242,0,Micro,None
1.1,139,0,Micro,None
1.47,90,0,Micro,None
0.98,36,0.26,Micro,None
1.36,131,0,Micro,None
2.93,3,2.87,Minor 2,Minor 1
5.1,162,1.86,Moderate,Micro
1.1,179,0,Micro,None
2,241,0,Minor 1,None
4.4,171,0.98,Light,Micro
2.5,161,0,Minor 1,None
2.1,90,0.3,Minor 1,None
1.54,17,1.2,Micro,Micro
2.44,19,2.06,Minor 1,Minor 1
1.19,137,0,Micro,None
0.97,120,0,Micro,None
0.85,54,0,Micro,None
0.96,126,0,Micro,None
1.81,13,1.55,Micro,Micro
1.3,195,0,Micro,None
4.6,153,1.54,Light,Micro
1.86,78,0.3,Micro,None
2.35,85,0.65,Minor 1,None
2.9,84,1.22,Minor 1,Micro
5.2,114,2.92,Moderate,Minor 2
1.95,215,0,Minor 1,None
1.97,186,0,Minor 1,None
1.46,13,1.2,Micro,Micro
0.87,136,0,Micro,None
2.41,120,0.01,Minor 1,None
1.98,191,0,Minor 1,None
1.17,126,0,Micro,None
2.04,218,0,Minor 1,None
2.77,116,0.45,Minor 1,None
2.97,107,0.83,Minor 2,None
3.04,211,0,Minor 2,None
0.89,130,0,Micro,None
1.19,194,0,Micro,None
0.57,174,0,Micro,None
1.8,112,0,Micro,None
2.24,234,0,Minor 1,None
0.71,132,0,Micro,None
1.5,115,0,Micro,None
4.1,208,0,Light,None
1.90999997,139,0,Minor 1,None
1.84000003,219,0,Micro,None
0.96,18,0.6,Micro,None
1.04,142,0,Micro,None
4.5,234,0,Light,None
0.67,25,0.17,Micro,None
4.2,43,3.34,Light,Minor 2
4.8,11,4.58,Light,Light
1.59,18,1.23,Micro,Micro
1.4,169,0,Micro,None
1,86,0,Micro,None
1.88,35,1.18,Micro,Micro
1.18,244,0,Micro,None
0.6,224,0,Micro,None
2.56,89,0.78,Minor 1,None
1.9,39,1.12,Micro,Micro
0.69,191,0,Micro,None
1.77,47,0.83,Micro,None
1.18,151,0,Micro,None
0.8,17,0.46,Micro,None
1.03,239,0,Micro,None
2.23,161,0,Minor 1,None
0.73,188,0,Micro,None
4.8,6,4.68,Light,Light
0.64,194,0,Micro,None
0.5,110,0,Micro,None
1.91,47,0.97,Minor 1,Micro
1.3,250,0,Micro,None
2,176,0,Minor 1,None
1.43,94,0,Micro,None
4.6,227,0.06,Light,None
1.5,224,0,Micro,None
2.27,215,0,Minor 1,None
1.29,33,0.63,Micro,None
5.3,153,2.24,Moderate,Minor 1
1.11,205,0,Micro,None
1.95000005,36,1.23000005,Minor 1,Micro
4.9,203,0.84,Light,None
1.2,74,0,Micro,None
1.87,209,0,Micro,None
1.15,178,0,Micro,None
1.23,192,0,Micro,None
1.91999996,81,0.29999996,Minor 1,None
4.2,118,1.84,Light,Micro
1.06,84,0,Micro,None
1.8,132,0,Micro,None
1.52,88,0,Micro,None
0.85,181,0,Micro,None
1.8,227,0,Micro,None
1.01,194,0,Micro,None
1.2,16,0.88,Micro,None
1.86000001,105,0,Micro,None
3,83,1.34,Minor 2,Micro
2.08,191,0,Minor 1,None
0.96,62,0,Micro,None
2.58,107,0.44,Minor 1,None
1.23,199,0,Micro,None
1.65,177,0,Micro,None
2.28,2,2.24,Minor 1,Minor 1
0.9,82,0,Micro,None
0.65,40,0,Micro,None
1.7,32,1.06,Micro,Micro
4.6,81,2.98,Light,Minor 2
1.1,245,0,Micro,None
1.1,166,0,Micro,None
0.7,165,0,Micro,None
1.37,194,0,Micro,None
0.54,215,0,Micro,None
4.3,49,3.32,Light,Minor 2
2.09,214,0,Minor 1,None
0.69,108,0,Micro,None
1.82,77,0.28,Micro,None
2.4,149,0,Minor 1,None
0.84,126,0,Micro,None
5,191,1.18,Moderate,Micro
0.85,92,0,Micro,None
1.95000005,225,0,Minor 1,None
0.87,173,0,Micro,None
0.58,96,0,Micro,None
1.07,188,0,Micro,None
1.2,155,0,Micro,None
0.63,4,0.55,Micro,None
1.54,96,0,Micro,None
0.96,229,0,Micro,None
0.57,128,0,Micro,None
4.4,57,3.26,Light,Minor 2
2.25,140,0,Minor 1,None
0.5,92,0,Micro,None
1.7,70,0.3,Micro,None
1.18,199,0,Micro,None
0.5,15,0.2,Micro,None
0.69,118,0,Micro,None
2.1,104,0.02,Minor 1,None
1.7,191,0,Micro,None
2.12,70,0.72,Minor 1,None
2.19,96,0.27,Minor 1,None
2.3,81,0.68,Minor 1,None
1.3,216,0,Micro,None
2.25,119,0,Minor 1,None
1,209,0,Micro,None
1.15,136,0,Micro,None
2.5,140,0,Minor 1,None
1.4,228,0,Micro,None
1.5,191,0,Micro,None
1.58,97,0,Micro,None
2.09,112,0,Minor 1,None
1.5,209,0,Micro,None
3.25,185,0,Minor 2,None
1.8,23,1.34,Micro,Micro
1.3,105,0,Micro,None
0.52,58,0,Micro,None
0.93,200,0,Micro,None
0.87,7,0.73,Micro,None
0.59,194,0,Micro,None
0.68,97,0,Micro,None
2.01,212,0,Minor 1,None
1.67,183,0,Micro,None
1.74,249,0,Micro,None
0.96,199,0,Micro,None
1.28,90,0,Micro,None
2.35,148,0,Minor 1,None
2.1,240,0,Minor 1,None
1.3,114,0,Micro,None
1.6,147,0,Micro,None
4.2,43,3.34,Light,Minor 2
4.1,30,3.5,Light,Minor 2
4.5,226,0,Light,None
2.2,137,0,Minor 1,None
4.3,80,2.7,Light,Minor 1
1.4,28,0.84,Micro,None
1.68,79,0.1,Micro,None
1.13,83,0,Micro,None
5.6,181,1.98,Moderate,Minor 1
4.5,221,0.08,Light,None
1.17,246,0,Micro,None
2.19,33,1.53,Minor 1,Micro
4.5,135,1.8,Light,Micro
0.98,128,0,Micro,None
1.65,88,0,Micro,None
1.93,31,1.31,Minor 1,Micro
2.51,194,0,Minor 1,None
1.7,122,0,Micro,None
0.86,204,0,Micro,None
1.3,4,1.22,Micro,Micro
2.13,19,1.75,Minor 1,Micro
0.85,128,0,Micro,None
0.8,112,0,Micro,None
4.5,74,3.02,Light,Minor 2
2.07,242,0,Minor 1,None
1.55,10,1.35,Micro,Micro
0.83,164,0,Micro,None
4.6,62,3.36,Light,Minor 2
1.49,162,0,Micro,None
1.7,217,0,Micro,None
1.61,123,0,Micro,None
1.4,95,0,Micro,None
4.4,51,3.38,Light,Minor 2
2.8,150,0,Minor 1,None
1.37,125,0,Micro,None
1.31,226,0,Micro,None
1.3,79,0,Micro,None
1.95,43,1.09,Minor 1,Micro
4.4,220,0,Light,None
1.09,165,0,Micro,None
1.4,49,0.42,Micro,None
1.15,150,0,Micro,None
1.8,116,0,Micro,None
0.86,47,0,Micro,None
2.3,137,0,Minor 1,None
4.6,24,4.12,Light,Light
1.28,209,0,Micro,None
4,62,2.76,Light,Minor 1
1.6,129,0,Micro,None
2.45,122,0.01,Minor 1,None
3.29,110,1.09,Minor 2,Micro
2.66,171,0,Minor 1,None
1.68,109,0,Micro,None
4,71,2.58,Light,Minor 1
2.36999989,228,0,Minor 1,None
2.2,192,0,Minor 1,None
2.38,248,0,Minor 1,None
1.42,6,1.3,Micro,Micro
1.8,185,0,Micro,None
0.75,10,0.55,Micro,None
3.3,137,0.56,Minor 2,None
2.32,210,0,Minor 1,None
4.6,96,2.68,Light,Minor 1
1.4,246,0,Micro,None
1.01,84,0,Micro,None
1.5,99,0,Micro,None
1.3,54,0.22,Micro,None
5,145,2.1,Moderate,Minor 1
0.66,70,0,Micro,None
0.87,203,0,Micro,None
4.3,133,1.64,Light,Micro
1.65,172,0,Micro,None
1.97000003,212,0,Minor 1,None
0.79,140,0,Micro,None
0.9,239,0,Micro,None
2.3,179,0,Minor 1,None
1.54,65,0.24,Micro,None
1.17,235,0,Micro,None
1.03,83,0,Micro,None
1.57,75,0.07,Micro,None
6.8,188,3.04,Strong,Minor 2
0.61,40,0,Micro,None
1.07,131,0,Micro,None
2.02999997,18,1.66999997,Minor 1,Micro
4.3,93,2.44,Light,Minor 1
0.79,40,0,Micro,None
2.25,170,0,Minor 1,None
0.84,161,0,Micro,None
1.41,237,0,Micro,None
1.33,57,0.19,Micro,None
1.77,189,0,Micro,None
1.21,107,0,Micro,None
0.84,107,0,Micro,None
1.7,198,0,Micro,None
1.16,207,0,Micro,None
4.7,40,3.9,Light,Minor 2
1.87,210,0,Micro,None
4.1,81,2.48,Light,Minor 1
4.6,242,0,Light,None
0.5,86,0,Micro,None
2.05,183,0,Minor 1,None
2.18,185,0,Minor 1,None
0.84,130,0,Micro,None
2,130,0,Minor 1,None
4.4,143,1.54,Light,Micro
0.55,175,0,Micro,None
1.2,207,0,Micro,None
1.27,216,0,Micro,None
4.2,44,3.32,Light,Minor 2
1.55,244,0,Micro,None
4.3,209,0.12,Light,None
4.3,137,1.56,Light,Micro
3.01,21,2.59,Minor 2,Minor 1
1.85,233,0,Micro,None
1.5,43,0.64,Micro,None
1.53,181,0,Micro,None
2.74,83,1.08,Minor 1,Micro
0.61,44,0,Micro,None
1.3,164,0,Micro,None
0.51,211,0,Micro,None
2.01,112,0,Minor 1,None
1.98,188,0,Minor 1,None
0.5,62,0,Micro,None
2.3,218,0,Minor 1,None
0.76,227,0,Micro,None
1.2,17,0.86,Micro,None
4.4,192,0.56,Light,None
1.61,90,0,Micro,None
1.82,224,0,Micro,None
1.43,93,0,Micro,None
1.41,30,0.81,Micro,None
2.2,197,0,Minor 1,None
1.68,117,0,Micro,None
2.25,160,0,Minor 1,None
1.02,229,0,Micro,None
0.62,73,0,Micro,None
1.6,226,0,Micro,None
2.25,180,0,Minor 1,None
4.5,230,0,Light,None
0.57,15,0.27,Micro,None
2.06999993,187,0,Minor 1,None
3.7,11,3.48,Minor 2,Minor 2
2.23,121,0,Minor 1,None
2.12,13,1.86,Minor 1,Micro
2.84,101,0.82,Minor 1,None
1.66,233,0,Micro,None
1.15,54,0.07,Micro,None
2.11,109,0,Minor 1,None
1.3,125,0,Micro,None
1.63,29,1.05,Micro,Micro
0.8,200,0,Micro,None
2.91,198,0,Minor 2,None
0.76,33,0.1,Micro,None
1.41,74,0,Micro,None
0.85,147,0,Micro,None
2.8,146,0,Minor 1,None
2.16,138,0,Minor 1,None
1.16,178,0,Micro,None
1.29,195,0,Micro,None
1.7,90,0,Micro,None
1.48,198,0,Micro,None
1.5,174,0,Micro,None
0.82,233,0,Micro,None
4.3,93,2.44,Light,Minor 1
2.94,134,0.26,Minor 2,None
2.89,68,1.53,Minor 1,Micro
4.2,50,3.2,Light,Minor 2
1.41,43,0.55,Micro,None
1.96000004,25,1.46000004,Minor 1,Micro
2.52,184,0,Minor 1,None
0.84,17,0.5,Micro,None
1.86,82,0.22,Micro,None
3.09,75,1.59,Minor 2,Micro
0.86,43,0,Micro,None
2.53,195,0,Minor 1,None
3,49,2.02,Minor 2,Minor 1
1.3,159,0,Micro,None
1.3,97,0,Micro,None
1.48,191,0,Micro,None
1,92,0,Micro,None
1.68,201,0,Micro,None
1.1,183,0,Micro,None
1.5,124,0,Micro,None
1.96,18,1.6,Minor 1,Micro
1.5,55,0.4,Micro,None
2.13,28,1.57,Minor 1,Micro
2.34,235,0,Minor 1,None
1.6,198,0,Micro,None
1.1,43,0.24,Micro,None
2.53,231,0,Minor 1,None
4.5,40,3.7,Light,Minor 2
0.9,149,0,Micro,None
2.2,4,2.12,Minor 1,Minor 1
0.62,183,0,Micro,None
4.6,30,4,Light,Light
1.7,186,0,Micro,None
0.8,135,0,Micro,None
4.4,250,0,Light,None
0.94,62,0,Micro,None
1.25,199,0,Micro,None
0.9,4,0.82,Micro,None
3.05,99,1.07,Minor 2,Micro
5,193,1.14,Moderate,Micro
1.6,4,1.52,Micro,Micro
1.69,249,0,Micro,None
0.86,89,0,Micro,None
1.1,114,0,Micro,None
1.3,236,0,Micro,None
1.3,9,1.12,Micro,Micro
4.2,68,2.84,Light,Minor 1
1.5,230,0,Micro,None
1.7,51,0.68,Micro,None
1.1,150,0,Micro,None
1.7,159,0,Micro,None
1.29,59,0.11,Micro,None
0.76,39,0,Micro,None
1.4,80,0,Micro,None
1.18,192,0,Micro,None
2.42,114,0.14,Minor 1,None
2.1,5,2,Minor 1,Minor 1
4.1,77,2.56,Light,Minor 1
1.5,229,0,Micro,None
1.19,6,1.07,Micro,Micro
1.88999999,55,0.78999999,Micro,None
4.5,195,0.6,Light,None
0.92,232,0,Micro,None
1.15,222,0,Micro,None
0.81,172,0,Micro,None
0.69,138,0,Micro,None
1.14,41,0.32,Micro,None
6.2,17,5.86,Strong,Moderate
4.9,98,2.94,Light,Minor 2
1.24,59,0.06,Micro,None
0.67,130,0,Micro,None
0.9,190,0,Micro,None
1.4,22,0.96,Micro,Micro
1.67,119,0,Micro,None
1.83,83,0.17,Micro,None
3.3,121,0.88,Minor 2,None
2.75,60,1.55,Minor 1,Micro
1.9,182,0,Micro,None
1,199,0,Micro,None
0.85,171,0,Micro,None
0.8,111,0,Micro,None
4.1,56,2.98,Light,Minor 2
0.52,97,0,Micro,None
1.74,142,0,Micro,None
1.5,16,1.18,Micro,Micro
1.6,186,0,Micro,None
1.3,26,0.78,Micro,None
0.84,161,0,Micro,None
4.5,47,3.56,Light,Minor 2
5.5,75,4,Moderate,Light
4.3,65,3,Light,Minor 2
1.1,192,0,Micro,None
1.6,56,0.48,Micro,None
0.99,133,0,Micro,None
1.56,193,0,Micro,None
1.4,216,0,Micro,None
4.6,88,2.84,Light,Minor 1
3.7,63,2.44,Minor 2,Minor 1
1.9,52,0.86,Micro,None
4.1,90,2.3,Light,Minor 1
2.15,171,0,Minor 1,None
4.9,154,1.82,Light,Micro
2.6,193,0,Minor 1,None
1.36,200,0,Micro,None
2.07,64,0.79,Minor 1,None
0.6,15,0.3,Micro,None
0.99,248,0,Micro,None
1.6,173,0,Micro,None
1.2,79,0,Micro,None
2.01999998,147,0,Minor 1,None
1.14,215,0,Micro,None
4.6,199,0.62,Light,None
1.22,49,0.24,Micro,None
4.3,190,0.5,Light,None
1.9,31,1.28,Micro,Micro
2.14,128,0,Minor 1,None
1.4,66,0.08,Micro,None
4.6,161,1.38,Light,Micro
1.69,22,1.25,Micro,Micro
4.1,166,0.78,Light,None
1.8,92,0,Micro,None
2.5,228,0,Minor 1,None
1.44,176,0,Micro,None
2.71,36,1.99,Minor 1,Minor 1
4.3,80,2.7,Light,Minor 1
0.84,57,0,Micro,None
0.86,103,0,Micro,None
1.4,246,0,Micro,None
1.71,28,1.15,Micro,Micro
1.5,46,0.58,Micro,None
2.29999995,36,1.57999995,Minor 1,Micro
2,137,0,Minor 1,None
